Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,SLA_ID,Unique_Link_Identifier_SLA,Service_Provider,lat,lon
95054466,2020-12-16,MPLS,10,Mombasa - Customs House,25432.4,,88504.75,2020-12-Saf00,2020-12-Saf00_95054466,Saf,-4.05052,39.667169
95004140,2020-12-16,MPLS,20,Moyale,60006.4,Upgrade 10>20 Mbps. Check Docs of Upgarade. KES 60006.4,208822.27,2020-12-Saf00,2020-12-Saf00_95004140,Saf,2.86885305,38.83203237871054
95061438,2020-12-16,MPLS,15,Muranga  15  Mbps Mpls,18504.0,,64393.92,2020-12-Saf00,2020-12-Saf00_95061438,Saf,-0.83170875,37.00492162779861
95054478,2020-12-16,MPLS,5,Naivasha,20352.8,,70827.74,2020-12-Saf00,2020-12-Saf00_95054478,Saf,-0.8870395,36.36487730618629
95062310,2020-12-16,MPLS,10,Naivasha Icd Mpls,50000.45,,174001.57,2020-12-Saf00,2020-12-Saf00_95062310,Saf,-0.8870395,36.36487730618629
95054479,2020-12-16,MPLS,35,Nakuru Generation,25439.4,"Upgrade 10>35 Mbps. Check Upgrade Docs. KES 20,352.80 ",88529.11,2020-12-Saf00,2020-12-Saf00_95054479,Saf,-0.7276337,36.4293473
95054480,2020-12-16,MPLS,5,Nakuru Kpc,20357.4,,70843.75,2020-12-Saf00,2020-12-Saf00_95054480,Saf,-0.2802724,36.0712048
95096687,2020-12-16,MPLS,12,Namanga,69997.5,,243591.3,2020-12-Saf00,2020-12-Saf00_95096687,Saf,-2.5480008,36.7926632
95054481,2020-12-16,MPLS,5,Nanyuki,20352.8,,70827.74,2020-12-Saf00,2020-12-Saf00_95054481,Saf,0.01403,37.074632
95059102,2020-12-16,MPLS,20,Narok,16998.4,Upgrade 4>20 Mbps. Check Upgrade Docs. KES 20357.4,59154.43,2020-12-Saf00,2020-12-Saf00_95059102,Saf,-1.2779365500000002,35.47742284932569
95054482,2020-12-16,MPLS,60,Nyeri,21366.0,Upgrade 6>60 Mbps. Check Upgrade Docs. KES 21366,74353.68,2020-12-Saf00,2020-12-Saf00_95054482,Saf,-0.4192962,36.9517005
95060864,2020-12-16,MPLS,5,Mbita,19997.45,,69591.13,2020-12-Saf00,2020-12-Saf00_95060864,Saf,-0.4997824,34.31430371628298
95054484,2020-12-16,MPLS,30,KESRA Nairobi,30040.7,,104541.64,2020-12-Saf00,2020-12-Saf00_95054484,Saf,-1.3026148499999999,36.82884201813725
95054485,2020-12-16,MPLS,10,Nairobi-City Square,25439.4,Former Railway Club,88529.11,2020-12-Saf00,2020-12-Saf00_95054485,Saf,-1.2859031,36.8257776
95096132,2020-12-16,MPLS,10,Shimoni,44997.2,,156590.26,2020-12-Saf00,2020-12-Saf00_95096132,Saf,-4.644991,39.380882
95035538,2020-12-16,MPLS,12,Taveta,69997.5,,243591.3,2020-12-Saf00,2020-12-Saf00_95035538,Saf,-3.559095,37.945535980061464
95096537,2020-12-16,MPLS,30,Thika,69997.5,"Upgrade 12>30 Mbps Billed KES 19,997.45",243591.3,2020-12-Saf00,2020-12-Saf00_95096537,Saf,-1.036648,37.077523
95054486,2020-12-16,MPLS,5,Voi,20352.8,,70827.74,2020-12-Saf00,2020-12-Saf00_95054486,Saf,-3.5592753000000004,38.80360488752321
95004141,2020-12-16,MPLS,20,Wajir Town,44997.2,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 44,997.20",156590.26,2020-12-Saf00,2020-12-Saf00_95004141,Saf,1.7504651,40.0594959
95065397,2020-12-16,MPLS,10,Usenge 10  Mbps Mpls,43500.0,,151380.0,2020-12-Saf00,2020-12-Saf00_95065397,Saf,-0.0670539,34.0565093
95096538,2023-10-01,Unknown,20,Busia,,,,2023-10-Saf01,2023-10-Saf01_95096538,Saf,0.3712048,34.26479520608315
95006961,2023-10-01,Unknown,15,Nairobi-Times Tower,,,,2023-10-Saf01,2023-10-Saf01_95006961,Saf,-1.2904051,36.8242254
95006963,2023-10-01,Unknown,15,Nairobi-Times Tower,,,,2023-10-Saf01,2023-10-Saf01_95006963,Saf,-1.2904051,36.8242254
95021939,2023-10-01,Unknown,15,KESRA Nairobi,,,,2023-10-Saf01,2023-10-Saf01_95021939,Saf,-1.3026148499999999,36.82884201813725
95018756,2023-10-01,Unknown,10,Siaya,,,,2023-10-Saf01,2023-10-Saf01_95018756,Saf,-0.06040135,34.200135009996295
