Invoice_Date,Link_ID,SLA_Date,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,Invoice_Quarter,Invoice_Fyr,modified_Link_ID,Unique_Link_Identifier_Invoice,Service_Provider
2023-10-01,95054468,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA FORTIS-WESTLANDS LOOP FIBER,B1-10096515502,240145.6128,Q2,Fyr 2023/24,2020-12-Saf00_95054468,B1-10096515502_95054468_2020,Saf
2023-10-01,95054469,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA GARISSA LOOP MICROWAVE,B1-10096515502,280129.995,Q2,Fyr 2023/24,2020-12-Saf00_95054469,B1-10096515502_95054469_2020,Saf
2023-10-01,95054470,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA ISIOLO LOOP  MICROWAVE,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054470,B1-10096515502_95054470_2020,Saf
2023-10-01,95054471,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA JKIA ACHIL SHED LOOP FIBER,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054471,B1-10096515502_95054471_2020,Saf
2023-10-01,95054472,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA JKIA SWISSPORT,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054472,B1-10096515502_95054472_2020,Saf
2023-10-01,95054473,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA KAKAMEGA LOOP CERAGON,B1-10096515502,101780.4648,Q2,Fyr 2023/24,2020-12-Saf00_95054473,B1-10096515502_95054473_2020,Saf
2023-10-01,95054474,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-KIAMBU,B1-10096515502,1392696.0,Q2,Fyr 2023/24,2020-12-Saf00_95054474,B1-10096515502_95054474_2020,Saf
2023-10-01,95054475,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA KISII LOOP CERAGON,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054475,B1-10096515502_95054475_2020,Saf
2023-10-01,95054476,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MACHAKOS LOOP FIBER,B1-10096515502,85506.732,Q2,Fyr 2023/24,2020-12-Saf00_95054476,B1-10096515502_95054476_2020,Saf
2023-10-01,95054477,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MERU LOOP CERAGON,B1-10096515502,85506.732,Q2,Fyr 2023/24,2020-12-Saf00_95054477,B1-10096515502_95054477_2020,Saf
2023-10-01,95054478,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NAIVASHA LOOP FIBER,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054478,B1-10096515502_95054478_2020,Saf
2023-10-01,95054479,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NAKURU GENERATION LOOP FIBER,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054479,B1-10096515502_95054479_2020,Saf
2023-10-01,95054480,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NAKURU KPC MICROWAVE,B1-10096515502,81470.31480000001,Q2,Fyr 2023/24,2020-12-Saf00_95054480,B1-10096515502_95054480_2020,Saf
2023-10-01,95054481,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NANYUKI LOOP FIBER,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054481,B1-10096515502_95054481_2020,Saf
2023-10-01,95054482,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NYERI CERAGON,B1-10096515502,85506.732,Q2,Fyr 2023/24,2020-12-Saf00_95054482,B1-10096515502_95054482_2020,Saf
2023-10-01,95054484,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA PODO PARK-KESRA LOOP FIBER,B1-10096515502,120222.8814,Q2,Fyr 2023/24,2020-12-Saf00_95054484,B1-10096515502_95054484_2020,Saf
2023-10-01,95054485,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-CITY SQUARE PPO,B1-10096515502,101808.4788,Q2,Fyr 2023/24,2020-12-Saf00_95054485,B1-10096515502_95054485_2020,Saf
2023-10-01,95054486,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA VOI CERAGON,B1-10096515502,81451.9056,Q2,Fyr 2023/24,2020-12-Saf00_95054486,B1-10096515502_95054486_2020,Saf
