Invoice_Date,Link_ID,SLA_Date,Invoice_Period,Invoice_Description,Invoice_Reference,Total_QRC,rank,SLA_ID,Unique_Link_ID,Service_Provider
2023-10-01,95054473,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA KAKAMEGA LOOP CERAGON,B1-10096515502,101780.4648,00,2020-12-Saf00,2020-12-Saf00_95054473,Saf
2023-10-01,95054474,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-KIAMBU,B1-10096515502,1392696.0,00,2020-12-Saf00,2020-12-Saf00_95054474,Saf
2023-10-01,95054475,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA KISII LOOP CERAGON,B1-10096515502,81451.9056,00,2020-12-Saf00,2020-12-Saf00_95054475,Saf
2023-10-01,95054476,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MACHAKOS LOOP FIBER,B1-10096515502,85506.732,00,2020-12-Saf00,2020-12-Saf00_95054476,Saf
2023-10-01,95054477,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA MERU LOOP CERAGON,B1-10096515502,85506.732,00,2020-12-Saf00,2020-12-Saf00_95054477,Saf
2023-10-01,95054478,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NAIVASHA LOOP FIBER,B1-10096515502,81451.9056,00,2020-12-Saf00,2020-12-Saf00_95054478,Saf
2023-10-01,95054479,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NAKURU GENERATION LOOP FIBER,B1-10096515502,81451.9056,00,2020-12-Saf00,2020-12-Saf00_95054479,Saf
2023-10-01,95054480,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NAKURU KPC MICROWAVE,B1-10096515502,81470.31480000001,00,2020-12-Saf00,2020-12-Saf00_95054480,Saf
2023-10-01,95054481,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NANYUKI LOOP FIBER,B1-10096515502,81451.9056,00,2020-12-Saf00,2020-12-Saf00_95054481,Saf
2023-10-01,95054482,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA NYERI CERAGON,B1-10096515502,85506.732,00,2020-12-Saf00,2020-12-Saf00_95054482,Saf
2023-10-01,95054484,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA PODO PARK-KESRA LOOP FIBER,B1-10096515502,120222.8814,00,2020-12-Saf00,2020-12-Saf00_95054484,Saf
2023-10-01,95054485,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA-CITY SQUARE PPO,B1-10096515502,101808.4788,00,2020-12-Saf00,2020-12-Saf00_95054485,Saf
2023-10-01,95054486,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA VOI CERAGON,B1-10096515502,81451.9056,00,2020-12-Saf00,2020-12-Saf00_95054486,Saf
2023-10-01,95059101,2020-12-16,01-Oct-2023 to 31-Dec-2023,KRA -KAJIADO-LOOP-FIBER,B1-10096515502,68027.59680000001,00,2020-12-Saf00,2020-12-Saf00_95059101,Saf
