No.,Link Location,Last Mile,Link ID,Package,Capacity,Monthly Ex,Quaterly EX,SLA Date,Excise,VAT,TOTAL
45,KENYA REVENUE AUTHORITY-SWAN CENTER KISUMU,,BV000826,BC Quarterly,62 Mbps,140000.0,420000,2023-02-23,,67200.0,487200.0
46,KENYA REVENUE AUTHORITY_TAITA TAVETA ,,BV003920,Lite leased line ,20 Mbps,35000.0,105000,2023-02-23,,16800.0,121800.0
47,KENYA REVENUE AUTHORITY_THIKA ,,BV000829,BC Quarterly,30 Mbps,70000.0,210000,2023-02-23,,33600.0,243600.0
48,KENYA REVENUE AUTHORITY_THIKA KVM ,,BV003024,BC Quarterly,10 Mbps,30000.0,90000,2023-02-23,,14400.0,104400.0
49,KENYA REVENUE AUTHORITY_VOI ,,BV000841,BC Quarterly,25 Mbps,57000.0,171000,2023-02-23,,27360.0,198360.0
50,KRA CBC BACKHAUL UPPERHILL ,,BV002523,BC Quarterly,100 Mbps,95000.0,285000,2023-02-23,,45600.0,330600.0
51,KRA CBC BACKHAUL UPPERHILL_BACKUP ,,BV003050,BC Quarterly,20 Mbps,0.0,0,2023-02-23,,0.0,0.0
52,KENYA REVENUE AUTHORITY_ISEBANIA OSBP,,BV003919,BC Quarterly,20 Mbps,35000.0,105000,2023-02-23,,16800.0,121800.0
53,KENYA REVENUE AUTHORITY - TIMES TOWER,,JMN003006,Internet,1000 Mbps,710000.0,2130000,2023-02-23,319500.0,391920.0,2841420.0
54,KENYA REVENUE AUTHORITY - TIMES TOWER,,J73008,Internet,100 Mbps,204786.67,614360,2023-02-23,92154.0,113042.24,819556.24
55,KENYA REVENUE AUTHORITY_ WAJIR,,BV03998,BC Quarterly,20 Mbps,40000.0,120000,2023-02-23,,19200.0,139200.0
56,KENYA REVENUE AUTHORITY_MANDERA,,BV003999,BC Quarterly,20 Mbps,40000.0,120000,2023-02-23,,19200.0,139200.0
57,KENYA REVENUE AUTHORITY_ WEBUYE RRU,,BV003974,BC Quarterly,10 Mbps,20000.0,60000,2023-08-15,,9600.0,69600.0
58,KENYA REVENUE AUTHORITY_ SIAYA,,BV004035,BC Quarterly,20 Mbps,40000.0,120000,2023-08-15,,19200.0,139200.0
59,KENYA REVENUE AUTHORITY_ MARSABIT,,BV004092,BC Quarterly,10 Mbps,20000.0,60000,2023-08-15,,9600.0,69600.0
60,KENYA REVENUE AUTHORITY_ KAPSABET,,BV004183,BC Quarterly,10 Mbps,20000.0,60000,2023-08-15,,9600.0,69600.0
61,KENYA REVENUE AUTHORITY_OLOITOKTOK,,BV004185,BC Quarterly,20 Mbps,40000.0,120000,2023-08-15,,19200.0,139200.0
62,KENYA REVENUE AUTHORITY_KABARNET,,BV004207,BC Quarterly,10 Mbps,20000.0,60000,2023-08-15,,9600.0,69600.0
63,KENYA REVENUE AUTHORITY_KAPENGURIA,,BV004208,BC Quarterly,10 Mbps,20000.0,60000,2023-08-15,,9600.0,69600.0
64,KENYA REVENUE AUTHORITY_KISUMU PIER,,BV004214,BC Quarterly,20 Mbps,40000.0,120000,2023-08-15,,19200.0,139200.0
Total,,,,,,5140786.67,15422360,,411654.0,2533442.24,18367456.24
