No.,KRA SITES,Last Mile,Link ID,Capacity,Monthly Ex,SLA Date,Quarterly Exc,Excise,VAT,Total Quarterly Inc,Comments
37,MURANGA - 15  Mbps MPLS,MPLS,95061438.0,15 Mbps,18504.0,2020-12-16,55512.0,11102.400000000001,10658.304,77272.704,
38,NAIVASHA LOOP FIBER,MPLS,95054478.0,5 Mbps,20352.8,2020-12-16,61058.399999999994,12211.68,11723.212799999998,84993.29279999998,
39,NAIVASHA ICD-MICROWAVE MPLS,MPLS,95062310.0,10 Mbps,50000.45,2020-12-16,150001.34999999998,30000.269999999997,28800.259199999997,208801.87919999997,
40,NAKURU GENERATION LOOP FIBER,MPLS,95054479.0,35 Mbps,25439.4,2020-12-16,76318.20000000001,15263.640000000003,14653.094400000002,106234.93440000001,"Upgrade 10>35 Mbps. Check Upgrade Docs. KES 20,352.80 "
41,NAKURU KPC MICROWAVE,MPLS,95054480.0,5 Mbps,20357.4,2020-12-16,61072.200000000004,12214.440000000002,11725.862400000002,85012.50240000001,
42,NAMANGA WIMAX,MPLS,95096687.0,12 Mbps,69997.5,2020-12-16,209992.5,41998.5,40318.56,292309.56,
43,NANYUKI LOOP FIBER,MPLS,95054481.0,5 Mbps,20352.8,2020-12-16,61058.399999999994,12211.68,11723.212799999998,84993.29279999998,
44,NAROK-LOOP-CERAGON,MPLS,95059102.0,20 Mbps,16998.4,2020-12-16,50995.200000000004,10199.04,9791.0784,70985.3184,Upgrade 4>20 Mbps. Check Upgrade Docs. KES 20357.4
45,NYERI CERAGON,MPLS,95054482.0,60 Mbps,21366.0,2020-12-16,64098.0,12819.6,12306.816,89224.41600000001,Upgrade 6>60 Mbps. Check Upgrade Docs. KES 21366
46,MBITA CERAGON,MPLS,95060864.0,5 Mbps,19997.45,2020-12-16,59992.350000000006,11998.470000000001,11518.531200000001,83509.3512,
47,PODO PARK-KESRA LOOP FIBER,MPLS,95054484.0,30 Mbps,30040.7,2020-12-16,90122.1,18024.420000000002,17303.4432,125449.9632,
