Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,rank,SLA_ID,Unique_Link_Identifier_SLA,Service_Provider
95038953,2020-12-16,MPLS,80,DR BACKHAUL FIBRE,93504.6,,325396.01,00,2020-12-Saf00,2020-12-Saf00_95038953,Saf
95054464,2020-12-16,MPLS,60,ELDORET KIPTAGICH MPLS FIBER,25439.4,Upgrade 10>60 Mbps. Check Upgrade Docs. KES 69997.5,88529.11,00,2020-12-Saf00,2020-12-Saf00_95054464,Saf
95054465,2020-12-16,MPLS,5,ELDORET KPC LOOP MICROWAVE,20357.4,,70843.75,00,2020-12-Saf00,2020-12-Saf00_95054465,Saf
95034216,2020-12-16,Internet,180,HQ-INTERNET,222299.85,,889644.0,00,2020-12-Saf00,2020-12-Saf00_95034216,Saf
95054467,2020-12-16,MPLS,10,FORODHA JKIA LOOP FIBER,25439.4,,88529.11,00,2020-12-Saf00,2020-12-Saf00_95054467,Saf
95054468,2020-12-16,MPLS,30,FORTIS-WESTLANDS LOOP FIBER,20352.8,"Upgrade 5>30 Mbps. Check Upgrade Docs. KES  60,006.40 ",70827.74,00,2020-12-Saf00,2020-12-Saf00_95054468,Saf
95054469,2020-12-16,MPLS,20,GARISSA LOOP MICROWAVE,21373.0,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 69997.5,74378.04,00,2020-12-Saf00,2020-12-Saf00_95054469,Saf
95054470,2020-12-16,MPLS,20,ISIOLO LOOP MICROWAVE,20357.4,Upgrade 6>20 Mbps. Check Upgrade Docs. KES 20352.8,70843.75,00,2020-12-Saf00,2020-12-Saf00_95054470,Saf
95096716,2020-12-16,MPLS,20,ISEBANIA-WIMAX,60006.4,"Upgrade 10>20 Mbps. Check Upgrade Docs. KES 73,685.10 ",208822.27,00,2020-12-Saf00,2020-12-Saf00_95096716,Saf
95054471,2020-12-16,MPLS,5,JKIA ACHIL SHED LOOP FIBER,20352.8,,70827.74,00,2020-12-Saf00,2020-12-Saf00_95054471,Saf
95054472,2020-12-16,MPLS,5,JKIA SWISSPORT,20352.8,,70827.74,00,2020-12-Saf00,2020-12-Saf00_95054472,Saf
95054473,2020-12-16,MPLS,25,KAKAMEGA LOOP CERAGON,21366.0,Upgrade 6>25 Mbps. Check Upgrade Docs. KES 25432.4,74353.68,00,2020-12-Saf00,2020-12-Saf00_95054473,Saf
95059101,2020-12-16,MPLS,4,KAJIADO-LOOP-FIBER,16998.4,,59154.43,00,2020-12-Saf00,2020-12-Saf00_95059101,Saf
95022778,2020-12-16,MPLS,10,KERICHO FIBER,60006.4,,208822.27,00,2020-12-Saf00,2020-12-Saf00_95022778,Saf
95035537,2020-12-16,MPLS,10,KILIFI MICROWAVE,60006.4,,208822.27,00,2020-12-Saf00,2020-12-Saf00_95035537,Saf
95065396,2020-12-16,MPLS,20,KILINDINI 20  Mbps MPLS,72414.0,,252000.72,00,2020-12-Saf00,2020-12-Saf00_95065396,Saf
95044903,2020-12-16,MPLS,5,KRA-LWAKHAKHA,22500.0,Former Kilindini Gate 9 ,78300.0,00,2020-12-Saf00,2020-12-Saf00_95044903,Saf
95044902,2020-12-16,MPLS,5,KRA-KOPANGA,29304.4,Former Kilindini Gate 18,101979.31,00,2020-12-Saf00,2020-12-Saf00_95044902,Saf
95044901,2020-12-16,MPLS,5,KRA-SIO PORT,29304.4,Former Kilindini Gate 20,101979.31,00,2020-12-Saf00,2020-12-Saf00_95044901,Saf
95044900,2020-12-16,MPLS,20,KRA-MARALAL,29304.4,"Former Kilindini Gate 22 down to KES 22,500. Upgrade 5>20 Mbps. Check Upgrade Docs. KES 22,500.00 ",101979.31,00,2020-12-Saf00,2020-12-Saf00_95044900,Saf
95054474,2020-12-16,MPLS,10,KRA - KIAMBU,25439.4,"Former Kilindini Shed 5 to KRA Kiambu. Price down from KES348,000",88529.11,00,2020-12-Saf00,2020-12-Saf00_95054474,Saf
95054475,2020-12-16,MPLS,30,KISII LOOP CERAGON,21366.0,Upgrade 6>30 Mbps. Check Upgrade Docs. KES 20352.8,74353.68,00,2020-12-Saf00,2020-12-Saf00_95054475,Saf
95034612,2020-12-16,MPLS,10,KISUMU-LOOP-MICROWAVE,44997.2,,156590.26,00,2020-12-Saf00,2020-12-Saf00_95034612,Saf
95045429,2020-12-16,MPLS,30,KITUI CERAGON,30003.2,"Upgrade 4>30 Mbps. Check Upgrade Docs. KES 30,003.20 ",104411.14,00,2020-12-Saf00,2020-12-Saf00_95045429,Saf
95001628,2020-12-16,MPLS,10,KRATI MOMBASA WIMAX,60006.4,,208822.27,00,2020-12-Saf00,2020-12-Saf00_95001628,Saf
95001574,2020-12-16,MPLS,10,LOITOKTOK BORDER WIMAX,60006.4,,208822.27,00,2020-12-Saf00,2020-12-Saf00_95001574,Saf
95096873,2020-12-16,MPLS,12,LUNGA LUNGA WIMAX,69997.5,,243591.3,00,2020-12-Saf00,2020-12-Saf00_95096873,Saf
95054476,2020-12-16,MPLS,6,MACHAKOS LOOP FIBER,21366.0,,74353.68,00,2020-12-Saf00,2020-12-Saf00_95054476,Saf
95096536,2020-12-16,MPLS,12,MALABA-WIMAX,69997.5,,243591.3,00,2020-12-Saf00,2020-12-Saf00_95096536,Saf
95001135,2020-12-16,MPLS,10,MALINDI-WIMAX,60006.4,,208822.27,00,2020-12-Saf00,2020-12-Saf00_95001135,Saf
95004139,2020-12-16,MPLS,10,MANDERA,44997.2,,156590.26,00,2020-12-Saf00,2020-12-Saf00_95004139,Saf
95054477,2020-12-16,MPLS,6,MERU LOOP CERAGON,21366.4,,74355.07,00,2020-12-Saf00,2020-12-Saf00_95054477,Saf
95054466,2020-12-16,MPLS,10,MOI AIRPORT MSA LOOP MICROWAVE,25432.4,,88504.75,00,2020-12-Saf00,2020-12-Saf00_95054466,Saf
95004140,2020-12-16,MPLS,20,KRA - Moyale,60006.4,Upgrade 10>20 Mbps. Check Docs of Upgarade. KES 60006.4,208822.27,00,2020-12-Saf00,2020-12-Saf00_95004140,Saf
95061438,2020-12-16,MPLS,15,MURANGA - 15  Mbps MPLS,18504.0,,64393.92,00,2020-12-Saf00,2020-12-Saf00_95061438,Saf
95054478,2020-12-16,MPLS,5,NAIVASHA LOOP FIBER,20352.8,,70827.74,00,2020-12-Saf00,2020-12-Saf00_95054478,Saf
95062310,2020-12-16,MPLS,10,NAIVASHA ICD-MICROWAVE MPLS,50000.45,,174001.57,00,2020-12-Saf00,2020-12-Saf00_95062310,Saf
95054479,2020-12-16,MPLS,35,NAKURU GENERATION LOOP FIBER,25439.4,"Upgrade 10>35 Mbps. Check Upgrade Docs. KES 20,352.80 ",88529.11,00,2020-12-Saf00,2020-12-Saf00_95054479,Saf
